Section,Class,HSGPA,UPSGPA,SATM,SATR,SATW,ACT,Gender,Height,ShoeSz,HSState,PublPrivic,BirthMonth,Handedness,Units,Shower,Sleep,Work,Study,Exercise,ComputerHrs,VarAthlete,FinAid,TxtbkAmt,TxtbkPerc,Diet,Coffee,Computer,Phone,States,Siblings,NumShoes,AgeElderParent,AgeYoungerParent,Salary,Major
D,FirstYear,4,3,,,,27,Female,64,8,Oregon,Public,April,Right,,15,8,8,10,20,8,Yes,Yes,200,90,NoPref,No,PC,iPhone,17,1,22,43,42,70000,Science
F,FirstYear,3.9,3.8,570,700,,,Female,,10.5,Oregon,Public,March,Right,4.25,20,7,9,3,4,,No,Yes,100,100,NoPref,No,Other,iPhone,8,1,5,61,55,,UND
F,FirstYear,,,,,,,DNI,63,,California,Private,February,Right,,,4,,,,,No,Yes,,,NoPref,No,PC,iPhone,,4,,,,,SocSci
D,Senior,3.8,3.64,580,,,,Female,66,7.5,Washington,Public,January,Right,3,15,6,12,30,0,5,No,Yes,250,100,Other,No,Mac,iPhone,12,3,6,45,42,50000,Science
D,FirstYear,3.7,3.2,,,,,Female,65,8,Washington,Public,February,Right,4 and quarter ,10,8,,10,14,,Yes,Yes,150,80,NoPref,No,Mac,iPhone,17,0,30,58,56,,Science
D,FirstYear,3.7,3.7,,,,,Female,63,6.5,Outside the U.S.,Private,September,Right,4,10,5,15,13,8,6,No,Yes,100,100,NoPref,Yes,Mac,iPhone,4,2,5,58,44,1500,SocSci
D,Sophomore,3.54,3.57,,,,,Female,65,7,California,Public,November,Right,4.75,10,7,9,9,3,9,No,Yes,45,100,NoPref,Yes,Mac,iPhone,10,2,10,46,46,60,Fine Arts
B,FirstYear,4,3,610,324,376,,DNI,70,11,California,Public,October,Right,4.25,20,6,12,7,4,15,No,Yes,300,100,Veg,Yes,Mac,iPhone,11,6,12,43,42,40000,Business
B,FirstYear,3.78,,,,,,Male,71,12,Colorado,Public,June,Right,4,12,8,4,15,14,0,Yes,Yes,120,100,NoPref,No,Mac,iPhone,16,3,6,50,50,50001,Business
B,FirstYear,4,3.83,,,,,Male,72,10.5,Washington,Public,July,Right,,5,7,0,15,10,10,Yes,Yes,,100,NoPref,Yes,PC,iPhone,,1,7,75,54,90000,Business
,Senior,3.86,3.61,,,,,Female,63,8.5,California,Public,October,Right,5,20,6,13,30,3,0,No,Yes,46,20,NoPref,No,Mac,iPhone,13,3,15,61,56,55000,SocSci
A,FirstYear,,,,,,,Female,67,8.5,Texas,Public,May,Right,4.25,15,8,,,,,No,Yes,,,NoPref,Yes,Mac,iPhone,,1,15,52,51,,Science
F,FirstYear,,3.24,,,,,Male,78,14,Outside the U.S.,Private,April,Right,5,15,10,,18,12,5,No,Yes,,,NoPref,Yes,Mac,iPhone,,0,,59,58,,UND
F,FirstYear,4,4,,,,,Female,62,7.5,Oregon,Public,October,Right,3,20,7,8,15,2,10,No,Yes,300,100,NoPref,Yes,Mac,iPhone,8,3,7,55,53,35,SocSci
F,FirstYear,,3.55,,,,27,Female,61,7.5,Colorado,Public,February,Right,3,7,6,,,,,No,Yes,65,100,NoPref,Yes,Other,iPhone,10,2,,55,54,,SocSci
D,Sophomore,3.95,3.97,,,,34,DNI,69,11.5,California,Public,October,Right,4,10,8,7,9,6,28,No,Yes,205,100,NoPref,Yes,Mac,iPhone,5,1,7,65,57,,Humanities
A,FirstYear,3.8,2,,,,,Female,68,10,Washington,Public,May,Right,5,20,6,12,2,4,6,Yes,Yes,250,100,NoPref,No,Chromebook,iPhone,5,0,20,55,48,90000,SocSci
D,Sophomore,3.83,2.3,,,,,Male,68,11,California,Public,August,Right,4,15,5,9,24,24,5,Yes,Yes,300,100,NoPref,Yes,PC,iPhone,9,7,9,45,39,45000,Science
D,Sophomore,4,3.85,,,,31,Female,65,8,New Mexico,Private,April,Right,4,20,8,10,20,8,15,No,Yes,40,0,Other,Yes,Mac,iPhone,10,3,15,45,42,,SocSci
F,FirstYear,3.7,,,,,,Female,61,7,Washington,Public,August,Right,4,15,8,10,20,4,40,No,Yes,300,100,Veg,No,Other,Android,10,5,20,57,57,50000,Humanities
F,FirstYear,3.5,,,,,,Male,75,12,Washington,Private,June,Right,3,15,4,40,15,5,60,No,Yes,45,50,NoPref,Yes,Mac,iPhone,10,2,5,57,52,50000,Science
D,Sophomore,3.7,3.2,,,,,Female,69,8.5,Washington,Public,June,Right,4,10,7,,16,15,,Yes,Yes,200,,NoPref,Yes,Mac,iPhone,,1,,52,52,,
,Senior,,,,,,,DNI,,9.5,,Public,December,Right,,60,8,9,8,0,,No,Yes,,60,NoPref,Yes,Chromebook,iPhone,4,0,30,56,46,,Humanities
D,Sophomore,3.8,3.9,,,,,Female,62,6.5,California,Private,June,Left,4,15,8,,3,6,6,No,Yes,197,,NoPref,Yes,Mac,iPhone,15,1,12,55,52,80000,Fine Arts
E,FirstYear,3.7,4,,,,34,Female,63,7.5,Washington,Public,November,Right,4,30,8,,10,4,30,No,Yes,67,100,NoPref,No,Other,Android,18,2,11,57,52,,Humanities
D,FirstYear,3.5,3.6,,,,,Male,,10.5,California,Private,August,Ambidextrous (Both),4,8,9,3,5,5,9,Yes,Yes,110,100,NoPref,No,Mac,iPhone,7,1,4,62,62,100000,UND
D,Sophomore,,,,,,,Male,69,11,California,Private,May,Right,,,,,,,,No,No,,,NoPref,No,Mac,iPhone,5,0,10,62,61,,SocSci
A,FirstYear,3.35,3.2,,,,,DNI,74,11,Minnesota,Public,November,Right,4,15,7,0,6,0,4,No,Yes,250,80,NoPref,Yes,Mac,iPhone,35,5,18,58,57,10,UND
F,FirstYear,3.2,2.3,,,,,Female,62,6.5,California,Public,February,Right,4,30,7,8,5,9,12,No,Yes,,,NoPref,No,Mac,iPhone,,,,,,,SocSci
B,FirstYear,3.95,3.7,,,,,Male,72,11,Washington,Public,March,Right,4,5,10,0,12,14,20,Yes,Yes,300,80,NoPref,No,PC,iPhone,26,1,12,48,47,110000,Business
A,FirstYear,4,3.4,,,,,DNI,62,8,California,Public,June,Left,4.25,20,6,9,7,3,5,No,Yes,80,100,NoPref,Yes,Mac,iPhone,7,3,7,39,39,,Fine Arts
F,Junior,3,2.8,280,340,340,,Female,64,7.5,Washington,Private,September,Left,4.25,10,8,20,15,8,17,No,Yes,65,50,NoPref,Yes,Mac,iPhone,8,4,18,60,60,30,Science
E,FirstYear,4,3.92,580,340,330,,DNI,60,6.5,Oregon,Public,January,Right,4.75,5,7,0,15,5,25,No,Yes,260,90,NoPref,No,Mac,iPhone,13,1,14,65,53,,Fine Arts
D,FirstYear,4,3.2,,,,,Female,58,3,Oregon,Public,July,Right,,20,6,8,20,12,5,Yes,Yes,20,,Veg,Yes,Mac,iPhone,5,2,10,52,49,80000,Science
B,FirstYear,3.4,,,,,,Male,72,11,Washington,Public,December,Right,4,10,7,,5,12,10,Yes,Yes,300,75,NoPref,No,Mac,iPhone,8,2,10,55,55,,Business
,FirstYear,3.96,3.85,,,,,Male,74,11.5,Washington,Public,November,Right,3.75,5,8,3,3,16,8,Yes,Yes,140,0,NoPref,Yes,Mac,iPhone,11,1,45,45,45,80000,Business
D,Sophomore,4,3.4,,,,22,Female,63,6.5,Oregon,Public,April,Right,4.25,30,7,10,16,6,30,No,Yes,20,100,NoPref,No,Mac,iPhone,8,2,15,54,54,60000,Science
D,Junior,3.3,3.1,650,750,,,Male,71,11,Washington,Public,March,Right,4.25,10,7,20,6,12,25,No,Yes,71,100,NoPref,No,Mac,iPhone,30,0,10,53,51,500000,SocSci
F,FirstYear,3.6,3.2,,,,,Male,82,15,California,Public,April,Right,4,20,7,11,10,4,8,No,Yes,125,100,NoPref,Yes,PC,iPhone,8,2,6,60,57,,Business
D,FirstYear,3.85,3.58,,,,,Female,67,10,New Mexico,Private,August,Right,4,30,7,0,15,4,10,No,Yes,250,80,NoPref,No,Mac,iPhone,10,0,15,53,51,0,Science
D,FirstYear,3.84,,670,650,650,,Male,66,7.5,Washington,Private,October,Right,4,15,7,0,4,1,6,No,Yes,250,0,NoPref,No,PC,iPhone,6,1,3,55,51,70000,Business
F,FirstYear,3.2,2.9,,,,,Male,71,13,California,Public,December,Right,4.75,,,,,,,,,,,,,,iPhone,,,,,,,
