ID,Section,HSGPA,UPSGPA,SATM,SATR,SATW,ACT,Sex,Gender,Height,Weight,ShoeSz,Class,HSState,PubPriv,BirthMonth,Handedness,Shower,Work,Study,Exercise,CompLeisure,FinAid,TextAmt,TextPct,TextType,DietPref,Coffee,MacPC,Athlete,States,Siblings,OldestParent,YoungestParent,Shoes,Salary,Major
19171,H - Paradise (2 p.m.),3.7,2.89,,,,26,Female (XX),Female,65,130,7,Freshman,Washington,Private,September,Right,15,9,10,4,15,Yes,180,100,Purchased New,Other,No,Windows(PC),No,10,3,53,50,30,50000,Business
19172,D - Rushton (12 noon),3.4,3.6,,,,28,Female (XX),Female,65,145,9,Junior,Mississippi,Private,February,Right,20,0,28,4,14,Yes,11,0,Purchased Used,Vegan or Vegetarian,Yes,Mac,No,23,1,60,60,35,90,Science
19173,H - Paradise (2 p.m.),,,600,600,600,32,Female (XX),Female,69,130,8,Freshman,Illinois,Public,February,Left,25,6,10,4,16,Yes,50,100,Purchased New,Vegan or Vegetarian,No,Mac,No,15,1,54,51,12,,Business
19174,H - Paradise (2 p.m.),3.7,2.5,,,,28,Male (XY),Male,72,135,10,Freshman,Minnesota,Public,May,Right,6,8,5,3,35,Yes,327,100,Purchased New,Other,Yes,Mac,No,25,1,50,48,10,50000,Business
19175,H - Paradise (2 p.m.),3.9,3.8,660,640,640,27,Female (XX),Female,61,100,6,Freshman,Hawaii,Private,July,Right,20,9,28,20,10,Yes,70,17,Purchased New,No Preference,No,Mac,Yes,15,1,,,10,,Business
19176,H - Paradise (2 p.m.),3.89,3.75,600,690,690,,Female (XX),Female,66,180,8.5,Freshman,California,Public,August,Right,15,15,50,5,17,Yes,173,78,Other,Other,Yes,Mac,No,9,13,42,42,17,50000,Business
19177,E - Price (1 p.m.),3.9,3.7,,,,,Female (XX),Female,60,115,7,Freshman,Hawaii,Private,June,Left,7,0,7,3,5,Yes,168,100,Purchased Used,No Preference,No,Mac,No,5,1,59,50,15,,Social Science
19178,H - Paradise (2 p.m.),3.9,3.25,,,,32,Male (XY),Male,73,195,11.5,Freshman,California,Public,February,Right,20,1,20,60,4,Yes,240,100,Purchased Used,No Preference,Yes,Mac,Yes,9,0,66,60,5,60000,Business
19179,A - Dove (8 a.m.),4,2.9,,,,,Female (XX),Female,63,135,7,Sophomore,California,Public,January,Right,15,,35,40,5,Yes,300,20,Rented book,No Preference,Yes,Mac,Yes,20,1,49,49,30,90000,Science
19180,A - Dove (8 a.m.),3.6,,700,670,,,Female (XX),Female,65,114,7.5,Freshman,California,Public,August,Right,20,0,21,22,10,Yes,300,100,Purchased Used,No Preference,Yes,Mac,Yes,15,2,52,51,15,28000,Social Science
19181,H - Paradise (2 p.m.),3.8,3.7,,,,,Female (XX),Female,72,168,11,Freshman,Oregon,Public,January,Left,20,0,,12,,Yes,225,100,Purchased New,No Preference,Yes,Mac,Yes,6,2,57,57,6,,Fine Arts 
19182,B - Pickard (8 a.m.),4,3.1,,,,,Male (XY),Male,72,195,11,Freshman,California,Public,December,Right,10,0,8,8,6,Yes,250,100,Purchased Used,No Preference,No,Windows(PC),Yes,5,1,55,54,5,45000,Science
19183,H - Paradise (2 p.m.),3.6,3.1,720,780,799,31,Female (XX),Male,69,165,95,Sophomore,Washington,Public,August,Right,7,0,25,10,8,Yes,25,100,Purchased New,No Preference,No,Windows(PC),No,20,3,59,49,7,120000,Science
19184,G - Rushton (2 p.m.),,3.4,,,,,Female (XX),Female,63,120,7.5,Freshman,California,Public,July,Right,30,,20,10,20,No,,50,Borrowed from a Friend,No Preference,Yes,Mac,No,4,2,,,3,,UND
19185,A - Dove (8 a.m.),4,3.67,,,,25,Female (XX),Female,64,122,7.5,Freshman,Colorado,Public,December,Right,7,0,16,14,14,Yes,139,100,Borrowed from a Friend,No Preference,No,Mac,Yes,16,2,61,61,12,,Social Science
19186,A - Dove (8 a.m.),4,3.8,,,,31,Female (XX),Female,65,112,6.5,Freshman,Colorado,Public,June,Right,20,25,20,14,10,Yes,200,80,Rented book,Vegan or Vegetarian,No,Mac,No,12,1,53,51,12,35000,Social Science
19187,E - Price (1 p.m.),3.8,3.17,560,,580,,Female (XX),Female,64,112,8.5,Freshman,California,Public,September,Right,25,,10,15,20,Yes,284,100,Purchased Used,Vegan or Vegetarian,No,Windows(PC),Yes,15,2,58,55,9,50000,Humanities
19188,E - Price (1 p.m.),3,2.9,,,,26,Male (XY),Male,72,192,11.5,Junior,California,Public,April,Right,5,4,8,3,5,No,170,80,Purchased Used,No Preference,Yes,Mac,No,19,3,72,61,3,13,Science
19189,H - Paradise (2 p.m.),3.7,2.75,,,,24,Male (XY),Male,78,215,13,Freshman,Washington,Private,August,Ambidextrous (Both),7,0,5,20,10,Yes,150,80,Other,No Preference,No,Windows(PC),Yes,7,0,57,52,20,80000,Business
19190,I - Thatcher (10 a.m.),3.72,3.07,570,650,600,26,Male (XY),Male,71,160,10,Freshman,Washington,Public,August,Left,10,0,15,10,35,Yes,110,100,Purchased eBook,No Preference,No,Windows(PC),No,10,1,49,47,5,20000,UND
19191,H - Paradise (2 p.m.),4,3.5,530,670,750,,Female (XX),Female,62,115,7,Freshman,California,Private,August,Right,14,4,14,13,7,Yes,175,100,Purchased Used,No Preference,Yes,Mac,Yes,6,4,48,47,6,30000,Business
19192,H - Paradise (2 p.m.),3.9,3.56,,,,29,Male (XY),Male,70,200,11,Freshman,California,Private,July,Right,15,0,25,5,40,Yes,170,75,Purchased Used,No Preference,No,Windows(PC),No,5,1,50,48,4,60000,Business
19193,I - Thatcher (10 a.m.),3.4,,,,,,Female (XX),Female,65,182,9,Sophomore,Washington,Public,March,Right,20,0,5,4,1,Yes,350,100,Purchased Used,Vegan or Vegetarian,No,Other,No,23,1,56,56,6,60000,Science
19194,E - Price (1 p.m.),4,3,600,610,500,,Female (XX),Female,68,150,8.5,Sophomore,California,Private,December,Left,10,0,9,5,8,Yes,345,100,Purchased Used,Vegan or Vegetarian,No,Windows(PC),No,10,1,67,64,13,45000,Humanities
19195,I - Thatcher (10 a.m.),3.96,,630,600,,,Female (XX),Female,67,160,9.5,Freshman,Washington,Public,July,Right,40,,,,,Yes,300,100,Purchased New,No Preference,No,Mac,No,20,1,50,50,30,,Science
19196,E - Price (1 p.m.),4,3.5,,,,31,Male (XY),Male,76,160,12,Freshman,Colorado,Public,April,Right,8,0,15,2,19,Yes,300,80,Purchased Used,No Preference,Yes,Mac,No,16,1,55,50,4,30000,Social Science
19197,F -Hieta-aho (2 p.m.),3.89,3.33,,,,21,Female (XX),Female,65,145,9,Freshman,Washington,Public,May,Right,10,12,,8,20,Yes,125,75,Purchased Used,Vegan or Vegetarian,Yes,Mac,Yes,24,3,56,46,18,40000,Science
19198,B - Pickard (8 a.m.),3.6,2.1,,,,,Male (XY),Male,73,175,11.5,Freshman,Utah,Private,January,Right,10,0,18,4,3,Yes,300,100,Purchased Used,No Preference,Yes,Mac,Yes,16,2,59,54,12,,Business
19199,B - Pickard (8 a.m.),3.4,3.5,510,640,590,,Female (XX),Female,61,115,5.5,Freshman,New York,Private,March,Right,10,10,4,3,10,Yes,150,75,Purchased Used,Vegan or Vegetarian,No,Windows(PC),No,15,1,63,54,9,20000,Humanities
19200,B - Pickard (8 a.m.),3.97,3.97,620,630,,,Female (XX),Female,64,117,7,,Washington,Public,July,Right,9,10,21,5,1,Yes,180,100,Purchased Used,Vegan or Vegetarian,No,Windows(PC),No,15,1,65,65,5,30000,Social Science
19201,A - Dove (8 a.m.),3.7,3.5,690,710,,,Female (XX),Female,61,160,7,Senior,California,Private,July,Right,15,23,10,1,,Yes,,40,Borrowed from a Friend,No Preference,No,Mac,No,12,2,50,49,15,30000,Humanities
19202,A - Dove (8 a.m.),3.9,3.17,,,,27,Female (XX),Female,64,135,7,Freshman,Colorado,Public,November,Right,15,,15,4,3,Yes,25,100,Borrowed from a Friend,Other,Yes,Windows(PC),No,20,1,49,48,15,,UND
19203,H - Paradise (2 p.m.),3.8,3.2,,,,24,Male (XY),Male,71,155,11,Freshman,Minnesota,Public,August,Right,5,9,14,1,5,Yes,350,60,Purchased New,No Preference,No,Windows(PC),No,26,0,51,47,3,,Business
19204,H - Paradise (2 p.m.),3.97,3.5,640,630,630,,Male (XY),Male,80,150,10.5,Freshman,Washington,Public,October,Left,15,15,6,10,5,Yes,200,10,Rented book,No Preference,No,Mac,Yes,7,2,42,37,9,30000,Science
19205,G - Rushton (2 p.m.),3.5,3.84,610,670,670,28,Male (XY),Male,65,130,9,Freshman,Hawaii,Private,September,Right,8,9,28,7,35,Yes,200,100,Purchased Used,No Preference,No,Mac,Yes,6,2,50,50,7,50000,Business
19206,H - Paradise (2 p.m.),3.4,3.92,,,,28,Male (XY),Male,72,163,10.5,Freshman,Texas,Public,July,Right,10,0,30,10,20,Yes,300,75,Purchased Used,No Preference,Yes,Mac,No,10,2,52,51,3,80000,Business
19207,E - Price (1 p.m.),3.8,,,,,31,Female (XX),Female,68,130,11,Freshman,California,Other,December,Right,45,,3,1,2,Yes,200,80,Purchased Used,No Preference,No,Mac,No,12,0,62,52,8,50000,Social Science
19208,D - Rushton (12 noon),3.5,3.97,650,610,,27,Male (XY),Male,74,205,11.5,Sophomore,Washington,Private,February,Left,15,0,18,12,10,Yes,104,75,Rented book,No Preference,No,Windows(PC),Yes,10,0,66,61,4,60000,Science
19209,A - Dove (8 a.m.),2.9,3.25,,,,25,Female (XX),Female,59,105,5.5,Sophomore,Colorado,Public,April,Right,6,10,15,4,7,Yes,250,60,Borrowed from a Friend,No Preference,Yes,Mac,No,15,1,55,54,30,80000,Social Science
19210,G - Rushton (2 p.m.),3.7,3.5,520,590,590,,Female (XX),Female,67,145,9,,,Private,August,Right,10,0,15,6,6,No,200,25,Purchased Used,Other,No,Mac,No,20,0,69,62,15,,Social Science
19211,A - Dove (8 a.m.),3.38,3.67,,,,24,Female (XX),Female,64,130,9,Freshman,California,Public,January,Left,12,,30,7,14,Yes,140,50,Purchased Used,No Preference,No,Mac,No,20,1,51,51,20,50000,Business
19212,C - Gibson (12 noon),4,3.97,780,690,,,Male (XY),Male,75,170,10.5,Sophomore,Idaho,Public,May,Right,5,10,18,9,1,Yes,100,31,Rented book,No Preference,No,Windows(PC),No,18,1,59,56,10,35000,Science
19213,A - Dove (8 a.m.),4,3.5,,,,,Male (XY),Male,72,198,12,Freshman,Colorado,Public,October,Right,8,0,15,6,15,No,150,100,Purchased Used,No Preference,No,Windows(PC),No,30,1,50,49,4,40000,Humanities
19214,F -Hieta-aho (2 p.m.),3.85,3.44,600,600,600,,Female (XX),Female,67,140,6,Freshman,California,Other,June,Right,30,9,10,6,8,Yes,165,100,Purchased Used,No Preference,No,Mac,No,13,1,58,57,25,45000,UND
19215,F -Hieta-aho (2 p.m.),3.2,3.75,640,710,,,Male (XY),Male,70,190,11,Freshman,California,Private,March,Right,10,0,15,5,10,Yes,200,100,Purchased Used,No Preference,Yes,Mac,No,10,0,52,,15,30000,Social Science
19216,F -Hieta-aho (2 p.m.),3.9,3.8,650,670,690,,Male (XY),Male,72,175,11,Junior,Oregon,Public,January,Right,10,3,20,15,10,Yes,220,100,Purchased Used,No Preference,Yes,Windows(PC),Yes,10,1,58,58,6,50000,Science
19217,F -Hieta-aho (2 p.m.),3.5,2.75,690,560,,,Male (XY),Male,70,162,8.5,Freshman,Washington,Public,September,Right,15,0,35,5,50,Yes,154,30,Purchased New,No Preference,No,Windows(PC),No,31,1,52,51,30,54000,Business
19218,G - Rushton (2 p.m.),3.7,3.78,680,740,780,,Female (XX),Female,67,135,7.5,Freshman,California,Private,December,Right,10,9,18,10,17,Yes,165,75,Borrowed from a Friend,Vegan or Vegetarian,Yes,Mac,No,8,3,66,58,10,35000,Social Science
19219,F -Hieta-aho (2 p.m.),4,3.75,730,670,670,29,Female (XX),Female,63,145,6,Freshman,California,Public,December,Right,15,,12,10,5,Yes,300,100,Purchased Used,No Preference,No,Mac,Yes,11,1,54,52,45,75000,Social Science
19220,D - Rushton (12 noon),3.75,3.6,,,,,Female (XX),Female,64,140,7,Sophomore,Washington,Public,December,Right,15,9,16,4,5,Yes,110,30,Borrowed from a Friend,No Preference,Yes,Windows(PC),No,4,2,39,37,14,80000,Science
19221,E - Price (1 p.m.),4,3.09,660,620,620,27,Female (XX),Female,62,117,7,,Hawaii,Public,March,Right,10,0,15,15,7,Yes,167,60,Purchased Used,No Preference,No,Mac,Yes,16,1,48,45,7,,Social Science
19222,F -Hieta-aho (2 p.m.),3.8,3.45,,,,,Female (XX),Female,68,145,10,Freshman,Washington,Private,August,Right,25,0,10,12,20,Yes,140,10,Rented book,No Preference,No,Mac,Yes,7,1,78,50,8,60000,Business
19223,C - Gibson (12 noon),3.6,3.3,700,700,650,30,Female (XX),Female,64,120,7.5,Junior,Massachusetts,Private,February,Right,10,0,18,11,17,No,200,60,Rented book,No Preference,Yes,Mac,No,15,2,58,58,15,30000,Science
19224,C - Gibson (12 noon),3.86,3.35,,,,30,Female (XX),Female,66,140,9.5,Junior,Washington,Public,May,Right,10,10,20,18,0,Yes,300,0,Borrowed from a Friend,No Preference,Yes,Windows(PC),Yes,20,2,51,50,16,,Science
19225,B - Pickard (8 a.m.),3.7,2.4,,,,27,Female (XX),Do not identify as male or female/gender nonconforming,64,135,8,Sophomore,California,Public,February,Left,7,0,16,5,20,Yes,200,20,Borrowed from a Friend,Vegan or Vegetarian,Yes,Mac,No,6,0,56,55,8,20000,Social Science
19226,A - Dove (8 a.m.),3.85,3.58,740,770,,,Female (XX),Female,63,102,5,Freshman,Colorado,Public,October,Right,15,9,15,1,20,Yes,50,50,Rented book,No Preference,No,Mac,No,36,1,58,56,7,30000,UND
19227,D - Rushton (12 noon),3.2,2.8,,,,22,Female (XX),Female,62,120,6.5,Sophomore,New Mexico,Private,May,Right,15,10,10,20,30,Yes,450,90,Purchased Used,No Preference,Yes,Windows(PC),No,8,0,55,53,20,50000,Social Science
19228,E - Price (1 p.m.),3.7,3.3,,,,,Female (XX),Female,71,175,11,,California,Public,August,Right,,,,,,Yes,,,,No Preference,No,Windows(PC),Yes,,2,53,53,,,Social Science
19229,B - Pickard (8 a.m.),3.4,1.8,,,,23,Male (XY),Male,73,175,12.5,Freshman,Texas,Private,February,Right,20,0,7,4,12,Yes,95,100,Purchased Used,Vegan or Vegetarian,No,Mac,No,15,0,93,58,5,20000,Fine Arts 
19230,I - Thatcher (10 a.m.),3.3,,700,650,700,23,Female (XX),Female,62,125,7,Freshman,Colorado,Public,September,Ambidextrous (Both),10,10,15,7,8,Yes,200,100,Purchased Used,No Preference,Yes,Windows(PC),Yes,31,5,84,44,15,50000,Fine Arts 
19231,H - Paradise (2 p.m.),3.8,4,,,,33,Male (XY),Male,,165,12,Freshman,,Private,March,Right,,,,,,Yes,85,100,Purchased New,No Preference,No,Mac,Yes,13,2,55,54,15,500000,Business
19232,D - Rushton (12 noon),3.9,,,,,29,Female (XX),Female,64,175,7.5,Freshman,Wisconsin,Public,August,Right,20,,35,,10,Yes,400,100,Purchased Used,Vegan or Vegetarian,Yes,Windows(PC),No,25,2,47,45,5,30000,Fine Arts 
